hh_id,person_id,is_head_of_household,married,gender,race,age,voted_in_2012,is_college_graduate,adult,hh_type,hh_income,is_urban,is_owner_of_home,tercile_of_census_tract_income,is_registered_democrat
1,1,1,Single,Female,White,28,0,1,1,unmarried_couple,111000,1,0,Middle,0
1,2,0,Single,Male,White,27,1,1,1,unmarried_couple,111000,1,0,Middle,0
2,3,1,Married,Female,White,34,0,1,1,married_couple,123000,1,1,Bottom,0
2,4,0,Married,Male,White,33,1,0,1,married_couple,123000,1,1,Bottom,1
2,5,0,Single,Male,White,6,0,1,0,married_couple,123000,1,1,Bottom,0
3,6,1,Single,Female,White,28,0,1,1,unmarried_couple,105400,1,0,Middle,1
3,7,0,Single,Male,White,29,1,0,1,unmarried_couple,105400,1,0,Middle,0
4,8,1,Single,Female,White,30,0,1,1,single_Female_head_of_household,48100,1,0,Top,1
4,9,0,Single,Female,White,3,0,0,0,single_Female_head_of_household,48100,1,0,Top,0
5,10,1,Single,Female,White,30,1,1,1,single_Female_head_of_household,54600,0,0,Top,1
5,11,0,Single,Male,White,5,0,1,0,single_Female_head_of_household,54600,0,0,Top,0
5,12,0,Single,Female,White,7,0,1,0,single_Female_head_of_household,54600,0,0,Top,0
6,13,1,Married,Female,White,31,1,0,1,married_couple,108400,1,1,Top,0
6,14,0,Married,Male,White,30,0,1,1,married_couple,108400,1,1,Top,0
7,15,1,Single,Female,White,33,0,1,1,single_Female_head_of_household,53200,1,0,Top,0
7,16,0,Single,Male,White,6,0,1,0,single_Female_head_of_household,53200,1,0,Top,0
8,17,1,Married,Female,Asian,25,1,0,1,married_couple,96400,0,1,Top,0
8,18,0,Married,Male,White,25,1,0,1,married_couple,96400,0,1,Top,0
8,19,0,Single,Female,Asian,6,0,1,0,married_couple,96400,0,1,Top,0
9,20,1,Single,Male,White,31,1,0,1,single_Male_head_of_household,39300,1,0,Top,0
10,21,1,Single,Male,White,32,1,0,1,single_Male_head_of_household,56400,0,0,Top,0
11,22,1,Single,Female,White,30,0,1,1,unmarried_couple,87600,1,0,Top,0
11,23,0,Single,Male,White,28,0,1,1,unmarried_couple,87600,1,0,Top,1
12,24,1,Single,Male,Asian,27,0,1,1,single_Male_head_of_household,49400,1,0,Middle,0
12,25,0,Single,Female,Asian,5,0,1,0,single_Male_head_of_household,49400,1,0,Middle,0
13,26,1,Single,Male,White,29,1,1,1,single_Male_head_of_household,56900,1,0,Top,1
14,27,1,Single,Male,White,33,1,1,1,single_Male_head_of_household,46500,0,0,Top,0
15,28,1,Single,Male,Asian,34,1,0,1,single_Male_head_of_household,56800,1,0,Middle,0
16,29,1,Single,Male,White,26,0,1,1,single_Male_head_of_household,51200,1,0,Bottom,1
17,30,1,Single,Female,White,33,1,1,1,single_Female_head_of_household,41900,1,0,Middle,0
18,31,1,Single,Female,White,27,0,1,1,unmarried_couple,113000,1,0,Top,0
18,32,0,Single,Male,White,32,0,0,1,unmarried_couple,113000,1,0,Top,0
19,33,1,Single,Male,White,30,1,0,1,single_Male_head_of_household,50100,0,0,Top,0
20,34,1,Married,Female,Asian,29,0,1,1,married_couple,90000,1,1,Middle,1
20,35,0,Married,Male,White,32,0,1,1,married_couple,90000,1,1,Middle,1
20,36,0,Single,Female,Asian,2,0,1,0,married_couple,90000,1,1,Middle,0
20,37,0,Single,Male,Asian,3,0,1,0,married_couple,90000,1,1,Middle,0
21,38,1,Single,Male,Asian,27,1,0,1,single_Male_head_of_household,52400,1,0,Top,1
21,39,0,Single,Male,Asian,2,0,1,0,single_Male_head_of_household,52400,1,0,Top,0
21,40,0,Single,Female,Asian,5,0,1,0,single_Male_head_of_household,52400,1,0,Top,0
22,41,1,Single,Female,White,28,1,1,1,unmarried_couple,90200,1,0,Top,0
22,42,0,Single,Male,White,31,0,0,1,unmarried_couple,90200,1,0,Top,0
22,43,0,Single,Male,White,5,0,1,0,unmarried_couple,90200,1,0,Top,0
23,44,1,Single,Female,White,30,1,0,1,unmarried_couple,109800,1,0,Middle,1
23,45,0,Single,Male,White,30,1,1,1,unmarried_couple,109800,1,0,Middle,0
24,46,1,Single,Female,White,33,1,1,1,single_Female_head_of_household,45600,0,0,Middle,1
