,hh_id,person_id,is_head_of_household,married,gender,race,age,voted_in_2012,is_college_graduate,adult,hh_type,hh_income,is_urban,is_owner_of_home,tercile_of_census_tract_income,is_registered_democrat
0,1,1,1,Single,Female,White,28,0,1,1,unmarried_couple,111000,1,0,Middle,0.0
1,1,2,0,Single,Male,White,27,1,1,1,unmarried_couple,111000,1,0,Middle,0.0
2,2,3,1,Married,Female,White,34,0,1,1,married_couple,123000,1,1,Bottom,0.0
3,2,4,0,Married,Male,White,33,1,0,1,married_couple,123000,1,1,Bottom,1.0
4,2,5,0,Single,Male,White,6,0,1,0,married_couple,123000,1,1,Bottom,0.0
5,3,6,1,Single,Female,White,28,0,1,1,unmarried_couple,105400,1,0,Middle,1.0
6,3,7,0,Single,Male,White,29,1,0,1,unmarried_couple,105400,1,0,Middle,0.0
7,4,8,1,Single,Female,White,30,0,1,1,single_Female_head_of_household,48100,1,0,Top,1.0
8,4,9,0,Single,Female,White,3,0,0,0,single_Female_head_of_household,48100,1,0,Top,0.0
9,5,10,1,Single,Female,White,30,1,1,1,single_Female_head_of_household,54600,0,0,Top,1.0
10,5,11,0,Single,Male,White,5,0,1,0,single_Female_head_of_household,54600,0,0,Top,0.0
11,5,12,0,Single,Female,White,7,0,1,0,single_Female_head_of_household,54600,0,0,Top,0.0
12,6,13,1,Married,Female,White,31,1,0,1,married_couple,108400,1,1,Top,0.0
13,6,14,0,Married,Male,White,30,0,1,1,married_couple,108400,1,1,Top,0.0
14,7,15,1,Single,Female,White,33,0,1,1,single_Female_head_of_household,53200,1,0,Top,0.0
15,7,16,0,Single,Male,White,6,0,1,0,single_Female_head_of_household,53200,1,0,Top,0.0
16,8,17,1,Married,Female,Asian,25,1,0,1,married_couple,96400,0,1,Top,0.0
17,8,18,0,Married,Male,White,25,1,0,1,married_couple,96400,0,1,Top,0.0
18,8,19,0,Single,Female,Asian,6,0,1,0,married_couple,96400,0,1,Top,0.0
19,9,20,1,Single,Male,White,31,1,0,1,single_Male_head_of_household,39300,1,0,Top,0.0
20,10,21,1,Single,Male,White,32,1,0,1,single_Male_head_of_household,56400,0,0,Top,0.0
