hh_id,hh_type,race
1,unmarried_couple,White
2,married_couple,White
3,unmarried_couple,White
4,single_Female_head_of_household,White
5,single_Female_head_of_household,White
6,married_couple,White
7,single_Female_head_of_household,White
8,married_couple,Asian
8,married_couple,White
9,single_Male_head_of_household,White
10,single_Male_head_of_household,White
11,unmarried_couple,White
12,single_Male_head_of_household,Asian
13,single_Male_head_of_household,White
14,single_Male_head_of_household,White
15,single_Male_head_of_household,Asian
16,single_Male_head_of_household,White
17,single_Female_head_of_household,White
18,unmarried_couple,White
19,single_Male_head_of_household,White
20,married_couple,Asian
20,married_couple,White
21,single_Male_head_of_household,Asian
22,unmarried_couple,White
23,unmarried_couple,White
24,single_Female_head_of_household,White
25,unmarried_couple,White
26,single_Male_head_of_household,White
27,unmarried_couple,White
27,unmarried_couple,Asian
28,single_Male_head_of_household,White
29,married_couple,Black
30,married_couple,Asian
30,married_couple,White
31,married_couple,Black
31,married_couple,White
32,unmarried_couple,Asian
32,unmarried_couple,White
33,married_couple,White
34,unmarried_couple,White
35,single_Female_head_of_household,Asian
36,single_Male_head_of_household,Asian
37,single_Male_head_of_household,White
38,unmarried_couple,White
39,single_Male_head_of_household,Black
40,married_couple,White
41,single_Female_head_of_household,White
42,unmarried_couple,White
43,married_couple,Asian
43,married_couple,White
44,married_couple,White
45,single_Male_head_of_household,White
46,unmarried_couple,White
47,married_couple,Asian
47,married_couple,White
48,unmarried_couple,White
49,married_couple,White
49,married_couple,Asian
50,single_Male_head_of_household,White
51,unmarried_couple,Asian
51,unmarried_couple,White
52,unmarried_couple,White
53,married_couple,White
54,married_couple,White
54,married_couple,Asian
55,married_couple,Asian
55,married_couple,White
56,unmarried_couple,White
57,single_Male_head_of_household,White
58,single_Male_head_of_household,Asian
59,single_Female_head_of_household,White
60,unmarried_couple,Black
60,unmarried_couple,White
61,single_Female_head_of_household,White
62,single_Male_head_of_household,Asian
63,single_Female_head_of_household,White
64,single_Male_head_of_household,White
65,single_Male_head_of_household,Asian
66,unmarried_couple,White
67,married_couple,White
68,married_couple,White
69,married_couple,Asian
69,married_couple,White
70,married_couple,White
71,unmarried_couple,White
72,married_couple,Asian
72,married_couple,White
73,single_Male_head_of_household,White
74,single_Male_head_of_household,White
75,unmarried_couple,White
75,unmarried_couple,Asian
76,single_Male_head_of_household,White
77,unmarried_couple,White
77,unmarried_couple,Asian
78,unmarried_couple,White
79,married_couple,Asian
79,married_couple,White
80,single_Male_head_of_household,Asian
81,married_couple,White
82,unmarried_couple,Black
82,unmarried_couple,Asian
83,unmarried_couple,White
84,unmarried_couple,White
85,unmarried_couple,White
86,married_couple,White
87,unmarried_couple,White
88,unmarried_couple,White
89,unmarried_couple,White
90,married_couple,White
90,married_couple,Asian
91,single_Male_head_of_household,White
92,unmarried_couple,White
93,unmarried_couple,White
94,married_couple,Asian
94,married_couple,White
95,married_couple,White
96,single_Female_head_of_household,White
97,single_Male_head_of_household,White
98,single_Male_head_of_household,White
99,unmarried_couple,Asian
99,unmarried_couple,White
100,unmarried_couple,White
101,single_Male_head_of_household,Asian
102,unmarried_couple,Asian
102,unmarried_couple,White
103,married_couple,White
104,unmarried_couple,White
104,unmarried_couple,Black
105,single_Male_head_of_household,White
106,married_couple,Asian
106,married_couple,White
107,single_Female_head_of_household,Asian
108,unmarried_couple,White
109,married_couple,Black
109,married_couple,White
110,single_Male_head_of_household,White
111,unmarried_couple,White
112,single_Male_head_of_household,White
113,unmarried_couple,White
113,unmarried_couple,Asian
114,unmarried_couple,Asian
114,unmarried_couple,White
115,unmarried_couple,White
116,unmarried_couple,White
117,married_couple,White
118,single_Male_head_of_household,White
119,unmarried_couple,White
120,unmarried_couple,White
121,unmarried_couple,Asian
121,unmarried_couple,White
122,unmarried_couple,White
122,unmarried_couple,Black
123,married_couple,White
123,married_couple,Black
124,unmarried_couple,White
125,married_couple,White
126,unmarried_couple,White
126,unmarried_couple,Asian
127,unmarried_couple,Asian
127,unmarried_couple,White
128,unmarried_couple,Black
128,unmarried_couple,White
129,unmarried_couple,White
129,unmarried_couple,Black
130,unmarried_couple,White
131,single_Female_head_of_household,White
132,single_Male_head_of_household,Black
133,married_couple,White
134,single_Male_head_of_household,White
135,married_couple,White
136,unmarried_couple,White
137,married_couple,White
138,married_couple,White
139,married_couple,Asian
140,single_Female_head_of_household,Asian
141,married_couple,White
142,married_couple,White
143,married_couple,White
144,married_couple,White
145,married_couple,Black
145,married_couple,White
146,single_Female_head_of_household,White
147,single_Female_head_of_household,Asian
148,married_couple,White
149,unmarried_couple,Asian
149,unmarried_couple,White
150,single_Male_head_of_household,White
151,married_couple,Black
151,married_couple,White
152,single_Male_head_of_household,White
153,single_Male_head_of_household,White
154,unmarried_couple,White
155,single_Female_head_of_household,White
156,unmarried_couple,White
156,unmarried_couple,Black
157,single_Male_head_of_household,Asian
158,unmarried_couple,Black
158,unmarried_couple,Asian
159,single_Male_head_of_household,White
160,married_couple,White
160,married_couple,Asian
161,single_Male_head_of_household,Black
162,single_Female_head_of_household,White
163,married_couple,White
164,single_Female_head_of_household,White
165,unmarried_couple,White
165,unmarried_couple,Asian
166,married_couple,White
167,single_Male_head_of_household,White
168,married_couple,White
168,married_couple,Black
169,married_couple,White
169,married_couple,Asian
170,unmarried_couple,White
170,unmarried_couple,Asian
171,unmarried_couple,White
172,single_Male_head_of_household,Asian
173,unmarried_couple,White
174,unmarried_couple,White
174,unmarried_couple,Asian
175,unmarried_couple,White
176,unmarried_couple,White
177,unmarried_couple,White
178,married_couple,Black
178,married_couple,White
179,unmarried_couple,White
179,unmarried_couple,Asian
180,married_couple,White
181,single_Male_head_of_household,White
182,unmarried_couple,White
182,unmarried_couple,Asian
183,married_couple,White
183,married_couple,Asian
184,unmarried_couple,Asian
184,unmarried_couple,White
185,single_Male_head_of_household,Asian
186,unmarried_couple,Asian
186,unmarried_couple,White
187,married_couple,White
188,unmarried_couple,Black
188,unmarried_couple,White
189,unmarried_couple,White
189,unmarried_couple,Asian
190,single_Female_head_of_household,White
191,single_Male_head_of_household,White
192,single_Female_head_of_household,White
193,married_couple,White
193,married_couple,Asian
194,married_couple,White
195,unmarried_couple,White
195,unmarried_couple,Asian
196,unmarried_couple,Black
196,unmarried_couple,White
197,married_couple,White
197,married_couple,Asian
198,unmarried_couple,White
198,unmarried_couple,Black
199,unmarried_couple,White
199,unmarried_couple,Asian
200,married_couple,White
201,single_Male_head_of_household,Asian
202,unmarried_couple,White
202,unmarried_couple,Asian
203,single_Male_head_of_household,White
204,unmarried_couple,White
205,single_Female_head_of_household,White
206,married_couple,Black
206,married_couple,White
207,unmarried_couple,White
207,unmarried_couple,Black
208,unmarried_couple,Asian
208,unmarried_couple,Black
209,unmarried_couple,White
210,married_couple,Black
210,married_couple,White
211,single_Female_head_of_household,White
212,married_couple,White
212,married_couple,Asian
213,unmarried_couple,White
214,unmarried_couple,White
214,unmarried_couple,Black
215,single_Male_head_of_household,White
216,married_couple,White
217,single_Male_head_of_household,Black
218,unmarried_couple,White
218,unmarried_couple,Asian
219,single_Male_head_of_household,White
220,unmarried_couple,White
221,unmarried_couple,White
222,single_Male_head_of_household,Asian
223,single_Male_head_of_household,White
224,unmarried_couple,White
225,unmarried_couple,Asian
225,unmarried_couple,White
226,unmarried_couple,White
226,unmarried_couple,Asian
227,married_couple,Asian
227,married_couple,White
228,unmarried_couple,White
228,unmarried_couple,Asian
229,unmarried_couple,White
229,unmarried_couple,Asian
230,married_couple,Asian
230,married_couple,White
231,single_Male_head_of_household,Asian
232,married_couple,White
233,unmarried_couple,Black
233,unmarried_couple,White
234,married_couple,White
235,single_Male_head_of_household,White
236,single_Male_head_of_household,White
237,single_Male_head_of_household,White
238,single_Male_head_of_household,White
239,single_Male_head_of_household,White
240,unmarried_couple,White
241,married_couple,White
242,single_Female_head_of_household,Asian
243,single_Female_head_of_household,Black
244,single_Female_head_of_household,Asian
245,unmarried_couple,White
246,single_Male_head_of_household,Asian
247,married_couple,White
248,single_Male_head_of_household,Black
249,single_Female_head_of_household,White
250,married_couple,Asian
250,married_couple,White
251,single_Female_head_of_household,White
252,single_Female_head_of_household,White
253,married_couple,Asian
253,married_couple,White
254,unmarried_couple,White
255,unmarried_couple,White
256,unmarried_couple,Black
256,unmarried_couple,White
257,married_couple,White
258,unmarried_couple,White
259,single_Male_head_of_household,White
260,unmarried_couple,White
260,unmarried_couple,Asian
261,single_Male_head_of_household,Asian
262,married_couple,White
262,married_couple,Asian
263,unmarried_couple,Asian
264,unmarried_couple,Black
265,unmarried_couple,White
266,unmarried_couple,Asian
267,single_Male_head_of_household,White
268,single_Male_head_of_household,White
269,unmarried_couple,White
270,single_Male_head_of_household,White
271,single_Female_head_of_household,Asian
272,unmarried_couple,White
273,single_Male_head_of_household,Asian
274,unmarried_couple,Asian
274,unmarried_couple,White
275,single_Male_head_of_household,Asian
276,unmarried_couple,White
277,married_couple,White
278,married_couple,White
279,married_couple,Asian
279,married_couple,Black
280,unmarried_couple,White
281,married_couple,Asian
281,married_couple,White
282,single_Male_head_of_household,White
283,single_Male_head_of_household,White
284,single_Male_head_of_household,White
285,single_Female_head_of_household,Asian
286,unmarried_couple,White
287,unmarried_couple,White
288,single_Female_head_of_household,White
289,unmarried_couple,Asian
289,unmarried_couple,Black
290,single_Female_head_of_household,Black
291,married_couple,White
292,unmarried_couple,White
293,single_Male_head_of_household,White
294,married_couple,White
295,unmarried_couple,White
295,unmarried_couple,Black
296,single_Male_head_of_household,Asian
297,unmarried_couple,Black
297,unmarried_couple,White
298,single_Male_head_of_household,Black
299,single_Male_head_of_household,White
300,single_Male_head_of_household,White
301,unmarried_couple,Black
301,unmarried_couple,White
302,single_Female_head_of_household,White
303,single_Female_head_of_household,Asian
304,married_couple,Asian
304,married_couple,White
305,unmarried_couple,Asian
305,unmarried_couple,Black
306,single_Male_head_of_household,Asian
307,unmarried_couple,White
308,unmarried_couple,Asian
308,unmarried_couple,White
309,married_couple,Asian
309,married_couple,White
310,unmarried_couple,White
311,single_Male_head_of_household,White
312,married_couple,White
313,unmarried_couple,White
314,single_Male_head_of_household,White
315,married_couple,Black
316,unmarried_couple,Black
316,unmarried_couple,White
317,single_Male_head_of_household,White
318,unmarried_couple,White
318,unmarried_couple,Black
319,single_Male_head_of_household,White
320,single_Male_head_of_household,White
321,single_Male_head_of_household,Asian
322,married_couple,White
323,married_couple,White
323,married_couple,Asian
324,married_couple,Black
324,married_couple,White
325,single_Male_head_of_household,White
326,married_couple,White
327,unmarried_couple,White
328,unmarried_couple,White
329,married_couple,White
330,unmarried_couple,White
331,married_couple,White
332,single_Female_head_of_household,White
333,single_Male_head_of_household,Asian
334,single_Female_head_of_household,Asian
335,unmarried_couple,White
335,unmarried_couple,Asian
336,unmarried_couple,White
337,unmarried_couple,Black
337,unmarried_couple,White
338,married_couple,Asian
338,married_couple,White
339,married_couple,Black
339,married_couple,Asian
340,single_Female_head_of_household,White
341,unmarried_couple,White
341,unmarried_couple,Asian
342,married_couple,Asian
343,married_couple,White
343,married_couple,Black
344,single_Male_head_of_household,Asian
345,married_couple,White
346,single_Male_head_of_household,White
347,single_Male_head_of_household,White
348,married_couple,Asian
349,single_Female_head_of_household,White
350,unmarried_couple,White
351,single_Male_head_of_household,Asian
352,single_Male_head_of_household,Asian
353,unmarried_couple,White
354,single_Female_head_of_household,White
355,married_couple,Asian
355,married_couple,Black
356,unmarried_couple,Asian
356,unmarried_couple,White
357,unmarried_couple,White
358,single_Male_head_of_household,White
359,married_couple,White
360,single_Male_head_of_household,Asian
361,single_Male_head_of_household,Black
362,single_Female_head_of_household,White
363,married_couple,White
364,married_couple,White
365,unmarried_couple,White
366,married_couple,White
367,unmarried_couple,White
368,single_Male_head_of_household,White
369,single_Male_head_of_household,White
370,single_Male_head_of_household,White
371,single_Male_head_of_household,White
372,unmarried_couple,Black
372,unmarried_couple,White
373,unmarried_couple,Asian
373,unmarried_couple,White
374,single_Male_head_of_household,White
375,married_couple,White
375,married_couple,Asian
376,unmarried_couple,White
377,married_couple,White
378,single_Male_head_of_household,Asian
379,single_Male_head_of_household,White
380,married_couple,Asian
380,married_couple,Black
381,married_couple,White
381,married_couple,Black
382,single_Female_head_of_household,White
383,single_Male_head_of_household,White
384,unmarried_couple,Asian
384,unmarried_couple,White
385,married_couple,White
386,single_Male_head_of_household,White
387,single_Male_head_of_household,White
388,single_Male_head_of_household,Asian
389,single_Male_head_of_household,Black
390,married_couple,Asian
390,married_couple,White
391,single_Male_head_of_household,White
392,single_Male_head_of_household,White
393,unmarried_couple,White
394,single_Male_head_of_household,White
395,single_Male_head_of_household,White
396,single_Male_head_of_household,White
397,single_Male_head_of_household,White
398,married_couple,White
399,unmarried_couple,White
399,unmarried_couple,Asian
400,single_Male_head_of_household,White
401,married_couple,White
402,married_couple,White
402,married_couple,Black
403,married_couple,White
404,unmarried_couple,White
404,unmarried_couple,Asian
405,married_couple,White
406,unmarried_couple,White
407,married_couple,White
408,single_Male_head_of_household,White
409,married_couple,White
410,unmarried_couple,White
410,unmarried_couple,Asian
411,unmarried_couple,White
411,unmarried_couple,Black
412,single_Female_head_of_household,White
413,single_Female_head_of_household,White
414,single_Male_head_of_household,White
415,unmarried_couple,White
415,unmarried_couple,Black
416,unmarried_couple,White
417,unmarried_couple,White
418,married_couple,White
